,Year,Quarter,Pincodes,User_Count,Amount
0,2018,1,560001,2917356,4684262246.184548
1,2018,1,110006,2636324,3714139312.238586
2,2018,1,400008,2227885,3105208723.475169
3,2018,1,600003,2010196,2997847000.265506
4,2018,1,731101,1764956,2366771285.7278423
5,2018,1,700009,1390629,1851145374.4001179
6,2018,1,411001,1055656,1413523605.5956619
7,2018,1,500012,933013,1643061976.4262943
8,2018,1,462001,832846,898730606.684653
9,2018,1,201301,690196,987613438.9540119
10,2018,2,560001,3777086,7545089760.607167
11,2018,2,110006,3069733,5237594871.124264
12,2018,2,600003,2771900,5194488793.022476
13,2018,2,400008,2631405,4703762207.003538
14,2018,2,731101,2134258,3697928407.603048
15,2018,2,700009,1473202,2566583723.725673
16,2018,2,411001,1316115,2145613783.5507011
17,2018,2,500012,1024336,2257038218.1929708
18,2018,2,201301,971854,1673280979.3831716
19,2018,2,462001,928983,1443626493.1959715
20,2018,3,110006,7198882,9029499185.157822
21,2018,3,560001,5764203,10161197002.295376
22,2018,3,600003,4430587,7070098756.153783
23,2018,3,400008,3111609,5436005565.19679
24,2018,3,731101,2644866,4429377129.783087
25,2018,3,700009,2531420,3555553312.5767612
26,2018,3,500012,1726388,3077635699.337487
27,2018,3,411001,1689517,2829639683.4067717
28,2018,3,221001,1439623,671779876.5266988
29,2018,3,201301,1438458,2181626866.4046803
30,2018,4,560001,7725284,14030425393.295612
31,2018,4,110006,7532374,11605568511.039162
32,2018,4,600003,5539392,10066365923.24963
33,2018,4,400008,4586309,8474903607.1238575
34,2018,4,731101,3284268,5847016363.011223
35,2018,4,700009,2939284,4991163446.523161
36,2018,4,500012,2576408,4841883809.168822
37,2018,4,201301,2504916,3217987818.841588
38,2018,4,411001,2176631,3917444399.4306126
39,2018,4,560068,1630650,1941175277.185885
40,2019,1,560001,16241340,23597361226.512825
41,2019,1,110006,10251048,13201959766.05106
42,2019,1,500012,9957548,15399177052.931395
43,2019,1,600003,8217185,12799152324.27052
44,2019,1,110011,6689740,9632804730.117004
45,2019,1,400008,6494529,10238553958.763014
46,2019,1,700009,6353573,7885002278.529919
47,2019,1,411006,5641935,9202990658.018358
48,2019,1,302001,4954219,7600396570.221162
49,2019,1,201301,4596696,4223121104.413077
50,2019,2,560001,27169035,40026681539.0066
51,2019,2,500012,23303184,42709920754.79193
52,2019,2,411006,22544991,34073354893.758354
53,2019,2,110011,20001452,31366326747.68567
54,2019,2,302001,14130072,26047079270.71371
55,2019,2,700009,9694969,12068405239.946836
56,2019,2,800015,9362673,19331794343.882797
57,2019,2,226004,8966947,16438621373.818607
58,2019,2,751002,8318660,12733845249.989027
59,2019,2,600003,6992850,13700604318.48539
60,2019,3,560001,34182229,49823702321.09828
61,2019,3,500012,27360144,55516914964.120514
62,2019,3,411006,25995035,42031275308.282005
63,2019,3,110011,20159577,36968948004.60185
64,2019,3,302001,15037317,31903765546.790287
65,2019,3,700009,11494363,14573984421.133255
66,2019,3,751002,9990982,16300297217.157505
67,2019,3,800015,8554034,21451659382.23745
68,2019,3,400008,7234595,14467758895.186302
69,2019,3,226004,6687157,17110382946.6282
70,2019,4,560001,48600127,67204107791.7798
71,2019,4,411006,32779718,51360244641.273315
72,2019,4,500012,32637373,67244225971.71475
73,2019,4,110011,22861243,44827058149.79611
74,2019,4,302001,17153003,41220743922.1253
75,2019,4,700009,16310685,18429094743.25623
76,2019,4,751002,13743261,19669451911.7042
