,State,Year,Quarter,District_name,Transaction_count,Transaction_amount
0,andaman-&-nicobar-islands,2018,1,north and middle andaman district,2196334,931663.0770939873
1,andaman-&-nicobar-islands,2018,1,south andaman district,2196334,12560249.34366581
2,andaman-&-nicobar-islands,2018,1,nicobars district,2196334,1139848.801225994
3,andaman-&-nicobar-islands,2018,2,north and middle andaman district,2196334,1317863.0834906558
4,andaman-&-nicobar-islands,2018,2,south andaman district,2196334,23948235.51634325
5,andaman-&-nicobar-islands,2018,2,nicobars district,2196334,3072436.9081196385
6,andaman-&-nicobar-islands,2018,3,north and middle andaman district,2196334,4901529.518499676
7,andaman-&-nicobar-islands,2018,3,south andaman district,2196334,44268112.46425246
8,andaman-&-nicobar-islands,2018,3,nicobars district,2196334,6387829.151558982
9,andaman-&-nicobar-islands,2018,4,north and middle andaman district,2196334,7955635.917688001
10,andaman-&-nicobar-islands,2018,4,south andaman district,2196334,75411840.8018554
11,andaman-&-nicobar-islands,2018,4,nicobars district,2196334,7180859.354911782
12,andaman-&-nicobar-islands,2019,1,north and middle andaman district,2196334,9561708.736298349
13,andaman-&-nicobar-islands,2019,1,south andaman district,2196334,85501972.38780196
14,andaman-&-nicobar-islands,2019,1,nicobars district,2196334,7236059.549389593
15,andaman-&-nicobar-islands,2019,2,north and middle andaman district,2196334,8612103.137888122
16,andaman-&-nicobar-islands,2019,2,south andaman district,2196334,102530955.71341258
17,andaman-&-nicobar-islands,2019,2,nicobars district,2196334,9111650.82436246
18,andaman-&-nicobar-islands,2019,3,north and middle andaman district,2196334,11481466.283356793
19,andaman-&-nicobar-islands,2019,3,south andaman district,2196334,91023888.32848613
20,andaman-&-nicobar-islands,2019,3,nicobars district,2196334,11566421.475451011
21,andaman-&-nicobar-islands,2019,4,north and middle andaman district,2196334,13524056.784573946
22,andaman-&-nicobar-islands,2019,4,south andaman district,2196334,110930312.20611623
23,andaman-&-nicobar-islands,2019,4,nicobars district,2196334,12384161.52668771
24,andaman-&-nicobar-islands,2020,1,north and middle andaman district,2196334,14697371.617857102
25,andaman-&-nicobar-islands,2020,1,south andaman district,2196334,134679396.90582755
26,andaman-&-nicobar-islands,2020,1,nicobars district,2196334,12099543.773590054
27,andaman-&-nicobar-islands,2020,2,north and middle andaman district,2196334,22447714.061058953
28,andaman-&-nicobar-islands,2020,2,south andaman district,2196334,132855778.74838585
29,andaman-&-nicobar-islands,2020,2,nicobars district,2196334,14341508.60470232
