,Year,Quarter,Name,User_count,Amount
0,2018,1,puducherry,104212,165825971
1,2018,1,tamil nadu,6726622,11261557697
2,2018,1,uttar pradesh,12537805,13939970923
3,2018,1,madhya pradesh,8025395,8681603403
4,2018,1,andhra pradesh,9039585,11996276391
5,2018,1,tripura,148157,137978914
6,2018,1,lakshadweep,778,1928611
7,2018,1,manipur,84069,128046173
8,2018,1,maharashtra,16387034,21711613257
9,2018,1,dadra & nagar haveli & daman & diu,148549,175658384
10,2018,1,meghalaya,49571,66250259
11,2018,1,andaman & nicobar islands,6658,14631761
12,2018,1,haryana,4480770,6793511514
13,2018,1,rajasthan,7591690,8926293130
14,2018,1,ladakh,6089,12532857
15,2018,1,punjab,1870433,2780758224
16,2018,1,assam,1056881,1157804456
17,2018,1,jharkhand,2178921,2374186389
18,2018,1,odisha,5809821,4627632210
19,2018,1,bihar,5824302,6045758172
20,2018,1,kerala,1771380,2402674753
21,2018,1,karnataka,12016899,19217895314
22,2018,1,chandigarh,381895,613435420
23,2018,1,telangana,8522766,13308204118
24,2018,1,himachal pradesh,481918,628737806
25,2018,1,west bengal,11710225,10625978552
26,2018,1,gujarat,5948775,7577982255
27,2018,1,sikkim,44078,64650938
28,2018,1,nagaland,42845,78005891
29,2018,1,mizoram,18561,45227219
30,2018,1,chhattisgarh,1891514,2149155557
31,2018,1,jammu & kashmir,941568,1005371239
32,2018,1,goa,160897,303856742
33,2018,1,arunachal pradesh,45497,92387336
34,2018,1,delhi,7122754,11211503806
35,2018,1,uttarakhand,1246685,1508545358
36,2018,2,puducherry,130261,285801119
37,2018,2,tamil nadu,9992128,20125844276
38,2018,2,uttar pradesh,17710943,25720201695
39,2018,2,madhya pradesh,10561412,15924081066
40,2018,2,andhra pradesh,12353918,22883914272
41,2018,2,tripura,214559,236891718
42,2018,2,lakshadweep,2132,6187809
43,2018,2,manipur,151721,253209721
44,2018,2,maharashtra,22285740,36357057241
45,2018,2,dadra & nagar haveli & daman & diu,202626,302070771
46,2018,2,meghalaya,67857,117004667
47,2018,2,andaman & nicobar islands,11340,28338535
48,2018,2,haryana,6150931,11320414442
49,2018,2,rajasthan,9973697,15559086175
50,2018,2,ladakh,15010,47334902
51,2018,2,punjab,2581163,4684672212
52,2018,2,assam,1663873,2350585135
53,2018,2,jharkhand,3152080,4721575659
54,2018,2,odisha,8158144,8488310339
55,2018,2,bihar,8632378,13506131109
56,2018,2,kerala,2308165,3886923343
57,2018,2,karnataka,17116447,33515580081
58,2018,2,chandigarh,479084,961223261
59,2018,2,telangana,10764670,23017201517
60,2018,2,himachal pradesh,687695,1183169301
61,2018,2,west bengal,18082446,18629183470
62,2018,2,gujarat,7745733,12162684771
63,2018,2,sikkim,74578,143693085
64,2018,2,nagaland,65599,153325577
65,2018,2,mizoram,27051,83508405
66,2018,2,chhattisgarh,2816156,4264170443
67,2018,2,jammu & kashmir,1796326,2651206236
68,2018,2,goa,229575,478603825
69,2018,2,arunachal pradesh,82157,198970192
70,2018,2,delhi,9373723,17446299902
71,2018,2,uttarakhand,1704122,2679755378
72,2018,3,puducherry,190271,417658075
73,2018,3,tamil nadu,15774078,29330092241
74,2018,3,uttar pradesh,26515356,37012114369
75,2018,3,madhya pradesh,17126985,24149742204
76,2018,3,andhra pradesh,25626061,35718044599
77,2018,3,tripura,377703,453863388
78,2018,3,lakshadweep,1703,4339032
79,2018,3,manipur,189258,383331244
80,2018,3,maharashtra,31538538,52260817733
81,2018,3,dadra & nagar haveli & daman & diu,289575,447639595
82,2018,3,meghalaya,110290,209853661
83,2018,3,andaman & nicobar islands,16265,55557471
84,2018,3,haryana,8262024,16375139007
85,2018,3,rajasthan,14257098,24040768671
86,2018,3,ladakh,24864,84090977
87,2018,3,punjab,3462108,7065687043
88,2018,3,assam,2351851,3811134989
89,2018,3,jharkhand,8122621,8661571417
90,2018,3,odisha,30052155,23094515775
91,2018,3,bihar,14367804,20135804378
92,2018,3,kerala,3134348,5323025223
93,2018,3,karnataka,25980261,48225091755
94,2018,3,chandigarh,616936,1369354447
95,2018,3,telangana,19332703,32030093209
96,2018,3,himachal pradesh,886754,1754041432
97,2018,3,west bengal,53705416,41843934183
98,2018,3,gujarat,11334149,17866404426
99,2018,3,sikkim,108500,235080226
100,2018,3,nagaland,94371,241792742
101,2018,3,mizoram,39316,116600738
102,2018,3,chhattisgarh,3859604,6302307073
103,2018,3,jammu & kashmir,2303961,3934700999
104,2018,3,goa,339511,713166969
105,2018,3,arunachal pradesh,131146,331726406
106,2018,3,delhi,18547048,27375846860
107,2018,3,uttarakhand,2229132,3726573039
108,2018,4,puducherry,307964,625691665
109,2018,4,tamil nadu,22457444,43302073975
110,2018,4,uttar pradesh,36100767,55096743575
111,2018,4,madhya pradesh,21397555,33905608072
112,2018,4,andhra pradesh,30759548,51473779406
113,2018,4,tripura,448059,624885599
114,2018,4,lakshadweep,1642,4463213
115,2018,4,manipur,236110,605683559
116,2018,4,maharashtra,46090223,79518937047
117,2018,4,dadra & nagar haveli & daman & diu,404082,658750616
118,2018,4,meghalaya,161132,337585679
119,2018,4,andaman & nicobar islands,23758,90548336
120,2018,4,haryana,12950183,25390876016
121,2018,4,rajasthan,20959723,37909087083
122,2018,4,ladakh,35211,135522842
123,2018,4,punjab,4887137,10781982573
124,2018,4,assam,3734172,5888022859
125,2018,4,jharkhand,6284043,10241916641
126,2018,4,odisha,21142798,23429869571
127,2018,4,bihar,15732401,28397997168
128,2018,4,kerala,4310654,7747361236
129,2018,4,karnataka,44812071,73008386576
130,2018,4,chandigarh,905116,2032591591
131,2018,4,telangana,28921154,49509088448
132,2018,4,himachal pradesh,1307883,2621298968
133,2018,4,west bengal,36513548,40489619211
134,2018,4,gujarat,14733303,24830987102
135,2018,4,sikkim,154533,383141358
136,2018,4,nagaland,139333,388013467
137,2018,4,mizoram,55242,190426852
138,2018,4,chhattisgarh,5365844,9416412664
139,2018,4,jammu & kashmir,2721310,5664720265
140,2018,4,goa,514755,1153005078
141,2018,4,arunachal pradesh,176429,504040029
142,2018,4,delhi,29187719,39722857618
143,2018,4,uttarakhand,3178761,5654272137
144,2019,1,puducherry,501092,906473024
145,2019,1,tamil nadu,32275045,56204036816
146,2019,1,uttar pradesh,57324504,76524180134
147,2019,1,madhya pradesh,37301049,48070279522
148,2019,1,andhra pradesh,57264522,83760595917
149,2019,1,tripura,580926,756894941
150,2019,1,lakshadweep,2481,8786130
151,2019,1,manipur,265409,659898060
152,2019,1,maharashtra,75079069,111420690920
153,2019,1,dadra & nagar haveli & daman & diu,661814,843369776
154,2019,1,meghalaya,208741,399037162
155,2019,1,andaman & nicobar islands,30486,102299740
156,2019,1,haryana,22135775,34051655721
157,2019,1,rajasthan,43956040,61141158575
158,2019,1,ladakh,46145,152859920
159,2019,1,punjab,7172137,13574490001
160,2019,1,assam,4533005,8002099536
161,2019,1,jharkhand,9387708,13627236449
162,2019,1,odisha,34031942,35427127930
163,2019,1,bihar,26356234,41502827514
164,2019,1,kerala,6469039,10235031134
165,2019,1,karnataka,86587609,117976382145
166,2019,1,chandigarh,1274476,2396032050
167,2019,1,telangana,65290702,95523262035
168,2019,1,himachal pradesh,2168718,3381481442
169,2019,1,west bengal,47626388,50164672623
170,2019,1,gujarat,24991451,35856080308
171,2019,1,sikkim,240287,457993634
172,2019,1,nagaland,168579,441941712
173,2019,1,mizoram,70306,218160895
174,2019,1,chhattisgarh,7887669,12544556385
175,2019,1,jammu & kashmir,3584987,5951835476
176,2019,1,goa,738812,1475323397
177,2019,1,arunachal pradesh,226506,609950106
178,2019,1,delhi,47007327,58469131789
179,2019,1,uttarakhand,5546001,7183529175
180,2019,2,puducherry,580077,1211446910
181,2019,2,tamil nadu,32171737,64207676025
182,2019,2,uttar pradesh,58883500,98917519370
183,2019,2,madhya pradesh,40846013,68334566380
184,2019,2,andhra pradesh,56409015,113634518758
185,2019,2,tripura,532558,841821482
186,2019,2,lakshadweep,2926,9242524
187,2019,2,manipur,257425,722789942
188,2019,2,maharashtra,101149853,153294470088
189,2019,2,dadra & nagar haveli & daman & diu,489656,824441276
190,2019,2,meghalaya,232286,492931289
191,2019,2,andaman & nicobar islands,33689,120254709
192,2019,2,haryana,22741816,42501539813
193,2019,2,rajasthan,50009286,89107313172
194,2019,2,ladakh,68772,259255506
195,2019,2,punjab,8509830,18614793394
196,2019,2,assam,5454929,10954969189
197,2019,2,jharkhand,10128211,18622701305
198,2019,2,odisha,29512024,44754854871
199,2019,2,bihar,29960479,63132438283
200,2019,2,kerala,7283826,13031371561
201,2019,2,karnataka,115401604,163702024226
202,2019,2,chandigarh,1252470,2693116098
203,2019,2,telangana,89610379,155676443182
204,2019,2,himachal pradesh,2502306,4875883973
205,2019,2,west bengal,47023535,57105691119
206,2019,2,gujarat,28981842,49320615219
207,2019,2,sikkim,388244,738894243
208,2019,2,nagaland,188753,520066682
209,2019,2,mizoram,75671,248016708
210,2019,2,chhattisgarh,9389945,17002355688
211,2019,2,jammu & kashmir,2296355,6100142201
212,2019,2,goa,768441,1591867103
213,2019,2,arunachal pradesh,258656,752655874
214,2019,2,delhi,57171512,81706816063
215,2019,2,uttarakhand,4813275,8588532850
216,2019,3,puducherry,716826,1460708357
217,2019,3,tamil nadu,41410183,78959604643
218,2019,3,uttar pradesh,68623959,111268137475
219,2019,3,madhya pradesh,53610411,77676321491
220,2019,3,andhra pradesh,76288614,139447944254
221,2019,3,tripura,711717,1017377422
222,2019,3,lakshadweep,3104,9651761
223,2019,3,manipur,345008,863552002
224,2019,3,maharashtra,148735581,199617506744
225,2019,3,dadra & nagar haveli & daman & diu,638751,961471473
226,2019,3,meghalaya,306550,612218602
227,2019,3,andaman & nicobar islands,33770,114071776
228,2019,3,haryana,30343531,52489119199
229,2019,3,rajasthan,67303617,112468290031
230,2019,3,ladakh,92396,331129527
231,2019,3,punjab,10706812,22905815605
232,2019,3,assam,5942571,12950443620
233,2019,3,jharkhand,14220647,21465973993
234,2019,3,odisha,41422272,57304577359
235,2019,3,bihar,32139900,67692783254
236,2019,3,kerala,9286096,16429809722
237,2019,3,karnataka,170733735,214536720438
238,2019,3,chandigarh,1506543,3269682087
239,2019,3,telangana,121495376,201930021130
240,2019,3,himachal pradesh,2735180,5572018781
241,2019,3,west bengal,66444829,70540532616
242,2019,3,gujarat,38228649,59462694964
243,2019,3,sikkim,552436,884716448
244,2019,3,nagaland,261878,650956471
245,2019,3,mizoram,98094,278793899
246,2019,3,chhattisgarh,12243111,19803259167
247,2019,3,jammu & kashmir,1116526,3744230491
248,2019,3,goa,1092416,2000367191
249,2019,3,arunachal pradesh,370234,912645034
250,2019,3,delhi,69537876,103196812046
251,2019,3,uttarakhand,5710476,9729032070
252,2019,4,puducherry,1012655,1932028317
253,2019,4,tamil nadu,56596411,103190865512
254,2019,4,uttar pradesh,86905005,145538926507
255,2019,4,madhya pradesh,68131989,104687926790
256,2019,4,andhra pradesh,107218103,200948315488
257,2019,4,tripura,801824,1215400160
258,2019,4,lakshadweep,3765,11269913
259,2019,4,manipur,449344,1200897682
260,2019,4,maharashtra,201260620,272994428799
261,2019,4,dadra & nagar haveli & daman & diu,768971,1226641262
262,2019,4,meghalaya,365981,742436471
263,2019,4,andaman & nicobar islands,35159,136838530
264,2019,4,haryana,37825985,69359719869
265,2019,4,rajasthan,85074242,159452410049
266,2019,4,ladakh,84706,324689360
267,2019,4,punjab,13698625,29989802246
268,2019,4,assam,6760510,15281983895
269,2019,4,jharkhand,18248618,28147748376
270,2019,4,odisha,64995633,79769373632
271,2019,4,bihar,43530314,93313426577
272,2019,4,kerala,12498637,21151326637
273,2019,4,karnataka,237796252,295047143447
274,2019,4,chandigarh,1850915,4152513817
275,2019,4,telangana,163572258,280746765547
276,2019,4,himachal pradesh,3516646,7271163537
277,2019,4,west bengal,96805838,88203610254
278,2019,4,gujarat,42547632,76690662054
279,2019,4,sikkim,767070,1176509601
